planetary_analog,phylum,n,pct
Europa_ocean_analog,Desulfobacterota,5,16.7
Europa_ocean_analog,Elusimicrobiota,1,3.3
Europa_ocean_analog,Nitrospinota,2,6.7
Europa_ocean_analog,Nitrospirota,1,3.3
Europa_ocean_analog,Planctomycetota,3,10.0
Europa_ocean_analog,Pseudomonadota,18,60.0
Mars_acidic_analog,Desulfobacterota,5,16.1
Mars_acidic_analog,Nitrospirota,13,41.9
Mars_acidic_analog,Omnitrophota,8,25.8
Mars_acidic_analog,Pseudomonadota,2,6.5
Mars_acidic_analog,Riflebacteria,2,6.5
Mars_acidic_analog,UBA10199,1,3.2
Mars_lake_analog,Bdellovibrionota,11,4.8
Mars_lake_analog,Desulfobacterota,47,20.6
Mars_lake_analog,Desulfobacterota_G,1,0.4
Mars_lake_analog,Elusimicrobiota,1,0.4
Mars_lake_analog,Fibrobacterota,1,0.4
Mars_lake_analog,Hydrogenedentota,1,0.4
Mars_lake_analog,Myxococcota,1,0.4
Mars_lake_analog,Nitrospinota,4,1.8
Mars_lake_analog,Nitrospirota,22,9.6
Mars_lake_analog,Omnitrophota,10,4.4
Mars_lake_analog,Pseudomonadota,122,53.5
Mars_lake_analog,Riflebacteria,1,0.4
Mars_lake_analog,SAR324,5,2.2
Mars_lake_analog,UBA10199,1,0.4
