Accession,ID_x,Organism Name,planetary_analog,Environment,Geographic location,latitude,longitude,Assembly level,Sequencing platform,CheckM2 completeness(%)(NN_model),CheckM2 contamination(%),pass.GUNC,Number_of_contigs,Size (bp),GC (%),N50,GTDB_r220_classification
GCA_000009985.1,GCA_000009985.1_Magnetospirillum_magneticum_AMB-1,Paramagnetospirillum_magneticum_AMB-1,Mars_lake_analog,freshwater,"Japan: Koganei, Tokyo",35.6932202,139.5100092,Complete Genome,-,100.0,1.31,True,1,4967148,65.09,4967148,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__Phaeospirillum;s__Phaeospirillum magneticum
GCA_000010665.1,GCA_000010665.1_Solidesulfovibrio_magneticus_RS-1,Solidesulfovibrio_magneticus_RS-1,Mars_lake_analog,freshwater,Japan: Kameno river,34.17484403,135.2371394,Complete Genome,-,100.0,0.53,True,3,5315620,62.67,5248049,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Solidesulfovibrio;s__Solidesulfovibrio magneticus
GCA_000014865.1,GCA_000014865.1_Magnetococcus_marinus_MC-1,Magnetococcus_marinus_MC-1,Europa_ocean_analog,marine,"USA: Pettaquamscutt Estuary, Rhode Island",41.44221139,-71.44088823,Complete Genome,-,99.99,0.28,True,1,4719581,54.17,4719581,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetococcaceae;g__Magnetococcus;s__Magnetococcus marinus
GCA_000342045.1,GCA_000342045.1_Magnetospirillum_caucaseum_SO-1,Paramagnetospirillum_caucaseum_SO-1,Mars_lake_analog,freshwater,Russia:Krasnodar krai,43.894,42.7209,Contig,454 GS-FLX Titanium,99.99,0.11,True,203,4859560,65.99,55386,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__Phaeospirillum;s__Phaeospirillum caucaseum
GCA_000513295.1,GCA_000513295.1_Magnetospirillum_gryphiswaldense_MSR-1_v2,Magnetospirillum_gryphiswaldense_MSR-1_v2,Mars_lake_analog,freshwater,Germany: Ryck River,54.10188088,13.38919751,Complete Genome,-,100.0,0.2,True,1,4365796,63.28,4365796,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__Magnetospirillum;s__Magnetospirillum gryphiswaldense
GCA_000714715.1,GCA_000714715.1_Candidatus_Magnetobacterium_casensis_MYR-1,Candidatus_Magnetobacterium_casense_MYR-1,Mars_lake_analog,freshwater,"China: Lake Miyun, Beijing",40.49863762,116.9916319,Contig,454,86.53,0.17,True,70,3415676,48.87,90253,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Magnetobacteriaceae;g__Magnetobacterium;s__Magnetobacterium casense
GCA_000829825.1,GCA_000829825.1_Magnetospirillum_magnetotacticum_MS-1,Paramagnetospirillum_magnetotacticum_MS-1,Mars_lake_analog,freshwater,"USA: Cedar Swamp, Massachusetts",42.59672121,-70.76937574,Contig,Illumina HiSeq,100.0,0.06,True,33,4523005,63.56,541957,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__Phaeospirillum;s__Phaeospirillum magnetotacticum
GCA_000960725.1,GCA_000960725.1_Candidatus_Magnetoovum_chiemensis_CS-04,Candidatus_Magnetoovum_chiemensis_CS-04,Mars_lake_analog,freshwater,"Germany: Lake Chiemsee, Bavaria",47.86944,12.398015,Contig,Illumina MiSeq,92.11,9.46,True,863,3721812,40.39,9961,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Magnetobacteriaceae;g__;s__
GCA_000968135.1,GCA_000968135.1_Magnetospira_sp._QH-2,Magnetospira_sp._QH-2,Europa_ocean_analog,marine,"Huiquan Bay, Qingdao, China",36.05239497,120.3371792,Complete Genome,-,99.96,0.43,True,2,4052370,59.44,4021307,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales_A;f__Magnetospiraceae;g__Magnetospira;s__Magnetospira sp000968135
GCA_001292585.1,GCA_001292585.1_Candidatus_Magnetomorum_sp._HK-1,Candidatus_Magnetomorum_sp._HK-1,Europa_ocean_analog,marine,"Germany:Wadden Sea, near Cuxhaven",53.89058,8.678464,Contig,Illumnia MiSeq,100.0,6.16,True,2715,14146258,34.61,18233,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Magnetomoraceae;g__Magnetomorum;s__
